1;OBJETIVO COLEGIO INTEGRADO;SAO PAULO;SP;Privada;De 60% a 80%;Muito Alto;742,96;661,11;865,93;728,25;716,55;774,76
2;FARIAS BRITO COLEGIO DE APLICACAO;FORTALEZA;CE;Privada;Menos de 20%;Sem informação;737,88;655,11;858,4;734,82;703,17;786,36
3;COLEGIO OLIMPO INTEGRAL;GOIANIA;GO;Privada;Menos de 20%;Sem informação;735,02;654,07;841;731,12;713,91;837,78
4;CHRISTUS COLEGIO PRE UNIVERSITARIO;FORTALEZA;CE;Privada;Menos de 20%;Sem informação;731,38;651,4;835,12;727,7;711,31;838,62
5;COLEGIO BERNOULLI - UNIDADE LOURDES;BELO HORIZONTE;MG;Privada;De 40% a 60%;Muito Alto;730,33;645,5;839,88;713,31;722,61;799,39
6;ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO;FORTALEZA;CE;Privada;Menos de 20%;Alto;725,09;644,38;831,5;724,13;700,33;808,33
7;COLEGIO E CURSO PONTO DE ENSINO;RIO DE JANEIRO;RJ;Privada;Menos de 20%;Muito Alto;720,73;628,93;868,38;709,38;676,24;715,79
8;COLEGIO ELITE VALE DO ACO;IPATINGA;MG;Privada;De 40% a 60%;Muito Alto;719,81;637,61;841,98;706,02;693,64;778,26
9;COLEGUIUM;BELO HORIZONTE;MG;Privada;De 60% a 80%;Muito Alto;719,71;651,03;833,65;696,94;697,2;807,78
10;OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO;MOGI DAS CRUZES;SP;Privada;80% ou mais;Muito Alto;718,66;646,29;815,94;709,63;702,8;757,67
11;COLEGIO BIONATUS II;CAMPO GRANDE;MS;Privada;Menos de 20%;Sem informação;712,91;641,22;806,83;697,96;705,64;870,45
12;COLEGIO SANTO ANTONIO;BELO HORIZONTE;MG;Privada;De 60% a 80%;Muito Alto;711,95;639,12;813,3;691,95;703,45;780,48
13;COLEGIO E CURSO PONTO DE ENSINO;NITEROI;RJ;Privada;De 20% a 40%;Muito Alto;711,36;622,07;843,4;671,63;708,33;788
14;VERTICE COLEGIO UNIDADE II;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;710,99;653,44;789,57;694,36;706,61;747,12
15;COLEGIO E CURSO PONTO DE ENSINO;RIO DE JANEIRO;RJ;Privada;Menos de 20%;Muito Alto;709,43;639,99;819,77;674,38;703,59;788,15
16;INST DOM BARRETO;TERESINA;PI;Privada;80% ou mais;Muito Alto;705,26;634,92;798,96;696,8;690,36;775,21
17;COL DE SAO BENTO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;704,94;632,49;786,37;682,18;718,73;886,56
18;SEB COC UNIDADE ALVARES CABRAL;RIBEIRAO PRETO;SP;Privada;De 60% a 80%;Muito Alto;701,7;630,47;777,03;704,83;694,46;776,55
19;ANGLO LEONARDO DA VINCI COLEGIO;CARAPICUIBA;SP;Privada;80% ou mais;Muito Alto;701,11;657,44;780,26;683,57;683,15;734,44
20;COLEGIO LEROTE LTDA;TERESINA;PI;Privada;80% ou mais;Muito Alto;700,86;625,38;786,8;683,2;708,06;844,62
21;MOBILE COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;700,84;637,03;800,82;680,99;684,52;788,17
22;IFES - CAMPUS VITORIA;VITORIA;ES;Federal;De 60% a 80%;Muito Alto;700,3;634,84;806,8;679,32;680,24;693,17
23;COLEGIO SANTO AGOSTINHO;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;697,91;637,2;782,66;683,26;688,53;812,37
24;ANTARES COLEGIO PRE VESTIBULAR;FORTALEZA;CE;Privada;Menos de 20%;Muito Alto;697,8;618,01;811,24;680,14;681,84;757,6
25;ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO;FORTALEZA;CE;Privada;Menos de 20%;Sem informação;697,58;623,35;784,83;687,33;694,8;809,56
26;COL OLIMPO;BRASILIA;DF;Privada;De 60% a 80%;Muito Alto;697,02;631,84;779,56;687,76;688,93;777,37
27;COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;696,91;642,4;777;675,2;693,04;782,31
28;FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL;FORTALEZA;CE;Privada;De 60% a 80%;Alto;696,9;635,51;777,46;680,52;694,1;791,43
29;SANTA CRUZ COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;694,08;645,47;776,73;668,57;685,56;721,1
30;COLEGIO SANTO AGOSTINHO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;693,91;643,35;776,97;665,22;690,1;803,87
31;COLEGIO HELYOS;FEIRA DE SANTANA;BA;Privada;80% ou mais;Muito Alto;693,81;636,45;765,76;685,82;687,22;791
32;COL DE APLICACAO DA UFV - COLUNI;VICOSA;MG;Federal;De 60% a 80%;Alto;693,32;620,1;779,66;676,27;697,23;818,59
33;COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA;NOVA LIMA;MG;Privada;80% ou mais;Muito Alto;692,43;627,79;782,71;677,61;681,59;790,83
34;VILLARE COLEGIO;SAO CAETANO DO SUL;SP;Privada;80% ou mais;Muito Alto;691,95;634,12;797,85;655,47;680,37;772,17
35;COLEGIO SANTA MARCELINA;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;690,68;635,66;777,76;665,2;684,1;774,51
36;EDUCANDARIO SANTA MARIA GORETTI;TERESINA;PI;Privada;80% ou mais;Muito Alto;690,34;631,92;758,53;677,21;693,71;800,38
